Item_Type,Name
Global Metadata Attribute,Virtual_Manifest
Global Metadata Attribute,center_from_tc_vitals
Global Metadata Attribute,creator_email
Global Metadata Attribute,creator_name
Global Metadata Attribute,existing_groups
Global Metadata Attribute,expected_groups
Global Metadata Attribute,geospatial_lat_max
Global Metadata Attribute,geospatial_lat_min
Global Metadata Attribute,geospatial_lat_units
Global Metadata Attribute,geospatial_lon_max
Global Metadata Attribute,geospatial_lon_min
Global Metadata Attribute,geospatial_lon_units
Global Metadata Attribute,radius_of_maximum_wind_km
Global Metadata Attribute,storm_datetime
Global Metadata Attribute,storm_epoch
Global Metadata Attribute,storm_id
Global Metadata Attribute,storm_intensity_ms
Global Metadata Attribute,storm_motion
Global Metadata Attribute,storm_motion_heading_deg
Global Metadata Attribute,storm_motion_speed_kt
Global Metadata Attribute,storm_mslp_hpa
Global Metadata Attribute,storm_name
Global Metadata Attribute,tc_category
Global Metadata Attribute,time_coverage_end
Global Metadata Attribute,time_coverage_start
Global Metadata Attribute,title
Global Metadata Attribute,version_number
Data Group,dropsonde_ghawk
Dataset Variable (dropsonde_ghawk),ght
Dataset Variable (dropsonde_ghawk),lat
Dataset Variable (dropsonde_ghawk),lon
Dataset Variable (dropsonde_ghawk),p
Dataset Variable (dropsonde_ghawk),q
Dataset Variable (dropsonde_ghawk),qerr
Dataset Variable (dropsonde_ghawk),t
Dataset Variable (dropsonde_ghawk),terr
Dataset Variable (dropsonde_ghawk),time
Dataset Variable (dropsonde_ghawk),u
Dataset Variable (dropsonde_ghawk),uerr
Dataset Variable (dropsonde_ghawk),v
Dataset Variable (dropsonde_ghawk),verr
Dataset Variable (dropsonde_ghawk),w
Dataset Variable (dropsonde_ghawk),werr
Data Group,dropsonde_noaa42
Dataset Variable (dropsonde_noaa42),ght
Dataset Variable (dropsonde_noaa42),lat
Dataset Variable (dropsonde_noaa42),lon
Dataset Variable (dropsonde_noaa42),p
Dataset Variable (dropsonde_noaa42),q
Dataset Variable (dropsonde_noaa42),qerr
Dataset Variable (dropsonde_noaa42),t
Dataset Variable (dropsonde_noaa42),terr
Dataset Variable (dropsonde_noaa42),time
Dataset Variable (dropsonde_noaa42),u
Dataset Variable (dropsonde_noaa42),uerr
Dataset Variable (dropsonde_noaa42),v
Dataset Variable (dropsonde_noaa42),verr
Dataset Variable (dropsonde_noaa42),w
Dataset Variable (dropsonde_noaa42),werr
Data Group,dropsonde_noaa43
Dataset Variable (dropsonde_noaa43),ght
Dataset Variable (dropsonde_noaa43),lat
Dataset Variable (dropsonde_noaa43),lon
Dataset Variable (dropsonde_noaa43),p
Dataset Variable (dropsonde_noaa43),q
Dataset Variable (dropsonde_noaa43),qerr
Dataset Variable (dropsonde_noaa43),t
Dataset Variable (dropsonde_noaa43),terr
Dataset Variable (dropsonde_noaa43),time
Dataset Variable (dropsonde_noaa43),u
Dataset Variable (dropsonde_noaa43),uerr
Dataset Variable (dropsonde_noaa43),v
Dataset Variable (dropsonde_noaa43),verr
Dataset Variable (dropsonde_noaa43),w
Dataset Variable (dropsonde_noaa43),werr
Data Group,dropsonde_noaa49
Dataset Variable (dropsonde_noaa49),ght
Dataset Variable (dropsonde_noaa49),lat
Dataset Variable (dropsonde_noaa49),lon
Dataset Variable (dropsonde_noaa49),p
Dataset Variable (dropsonde_noaa49),q
Dataset Variable (dropsonde_noaa49),qerr
Dataset Variable (dropsonde_noaa49),t
Dataset Variable (dropsonde_noaa49),terr
Dataset Variable (dropsonde_noaa49),time
Dataset Variable (dropsonde_noaa49),u
Dataset Variable (dropsonde_noaa49),uerr
Dataset Variable (dropsonde_noaa49),v
Dataset Variable (dropsonde_noaa49),verr
Dataset Variable (dropsonde_noaa49),w
Dataset Variable (dropsonde_noaa49),werr
Data Group,dropsonde_usaf
Dataset Variable (dropsonde_usaf),ght
Dataset Variable (dropsonde_usaf),lat
Dataset Variable (dropsonde_usaf),lon
Dataset Variable (dropsonde_usaf),p
Dataset Variable (dropsonde_usaf),q
Dataset Variable (dropsonde_usaf),qerr
Dataset Variable (dropsonde_usaf),t
Dataset Variable (dropsonde_usaf),terr
Dataset Variable (dropsonde_usaf),time
Dataset Variable (dropsonde_usaf),u
Dataset Variable (dropsonde_usaf),uerr
Dataset Variable (dropsonde_usaf),v
Dataset Variable (dropsonde_usaf),verr
Data Group,flight_level_hdobs_noaa42
Dataset Variable (flight_level_hdobs_noaa42),ght
Dataset Variable (flight_level_hdobs_noaa42),lat
Dataset Variable (flight_level_hdobs_noaa42),lon
Dataset Variable (flight_level_hdobs_noaa42),p
Dataset Variable (flight_level_hdobs_noaa42),q
Dataset Variable (flight_level_hdobs_noaa42),qerr
Dataset Variable (flight_level_hdobs_noaa42),t
Dataset Variable (flight_level_hdobs_noaa42),terr
Dataset Variable (flight_level_hdobs_noaa42),time
Dataset Variable (flight_level_hdobs_noaa42),u
Dataset Variable (flight_level_hdobs_noaa42),uerr
Dataset Variable (flight_level_hdobs_noaa42),v
Dataset Variable (flight_level_hdobs_noaa42),verr
Data Group,flight_level_hdobs_noaa43
Dataset Variable (flight_level_hdobs_noaa43),ght
Dataset Variable (flight_level_hdobs_noaa43),lat
Dataset Variable (flight_level_hdobs_noaa43),lon
Dataset Variable (flight_level_hdobs_noaa43),p
Dataset Variable (flight_level_hdobs_noaa43),q
Dataset Variable (flight_level_hdobs_noaa43),qerr
Dataset Variable (flight_level_hdobs_noaa43),t
Dataset Variable (flight_level_hdobs_noaa43),terr
Dataset Variable (flight_level_hdobs_noaa43),time
Dataset Variable (flight_level_hdobs_noaa43),u
Dataset Variable (flight_level_hdobs_noaa43),uerr
Dataset Variable (flight_level_hdobs_noaa43),v
Dataset Variable (flight_level_hdobs_noaa43),verr
Data Group,flight_level_hdobs_noaa49
Dataset Variable (flight_level_hdobs_noaa49),ght
Dataset Variable (flight_level_hdobs_noaa49),lat
Dataset Variable (flight_level_hdobs_noaa49),lon
Dataset Variable (flight_level_hdobs_noaa49),p
Dataset Variable (flight_level_hdobs_noaa49),q
Dataset Variable (flight_level_hdobs_noaa49),qerr
Dataset Variable (flight_level_hdobs_noaa49),t
Dataset Variable (flight_level_hdobs_noaa49),terr
Dataset Variable (flight_level_hdobs_noaa49),time
Dataset Variable (flight_level_hdobs_noaa49),u
Dataset Variable (flight_level_hdobs_noaa49),uerr
Dataset Variable (flight_level_hdobs_noaa49),v
Dataset Variable (flight_level_hdobs_noaa49),verr
Data Group,flight_level_hdobs_usaf
Dataset Variable (flight_level_hdobs_usaf),ght
Dataset Variable (flight_level_hdobs_usaf),lat
Dataset Variable (flight_level_hdobs_usaf),lon
Dataset Variable (flight_level_hdobs_usaf),p
Dataset Variable (flight_level_hdobs_usaf),q
Dataset Variable (flight_level_hdobs_usaf),qerr
Dataset Variable (flight_level_hdobs_usaf),t
Dataset Variable (flight_level_hdobs_usaf),terr
Dataset Variable (flight_level_hdobs_usaf),time
Dataset Variable (flight_level_hdobs_usaf),u
Dataset Variable (flight_level_hdobs_usaf),uerr
Dataset Variable (flight_level_hdobs_usaf),v
Dataset Variable (flight_level_hdobs_usaf),verr
Data Group,sfmr_noaa42
Dataset Variable (sfmr_noaa42),lat
Dataset Variable (sfmr_noaa42),lon
Dataset Variable (sfmr_noaa42),rr
Dataset Variable (sfmr_noaa42),spd
Dataset Variable (sfmr_noaa42),spderr
Dataset Variable (sfmr_noaa42),time
Data Group,sfmr_noaa43
Dataset Variable (sfmr_noaa43),lat
Dataset Variable (sfmr_noaa43),lon
Dataset Variable (sfmr_noaa43),rr
Dataset Variable (sfmr_noaa43),spd
Dataset Variable (sfmr_noaa43),spderr
Dataset Variable (sfmr_noaa43),time
Data Group,sfmr_usaf
Dataset Variable (sfmr_usaf),lat
Dataset Variable (sfmr_usaf),lon
Dataset Variable (sfmr_usaf),rr
Dataset Variable (sfmr_usaf),spd
Dataset Variable (sfmr_usaf),spderr
Dataset Variable (sfmr_usaf),time
Data Group,ships_params
Group Attribute (ships_params),obs_count
Group Attribute (ships_params),ships_atcf_id
Group Attribute (ships_params),ships_datetime_utc
Group Attribute (ships_params),source
Dataset Variable (ships_params),cd20_m
Dataset Variable (ships_params),cd26_m
Dataset Variable (ships_params),cohc_kjcm2
Dataset Variable (ships_params),csst_degc
Dataset Variable (ships_params),d200_1e7_per_s
Dataset Variable (ships_params),dsst_degc
Dataset Variable (ships_params),dtl_km
Dataset Variable (ships_params),incv_kt
Dataset Variable (ships_params),nage_hr
Dataset Variable (ships_params),nohc_kjcm2
Dataset Variable (ships_params),nsst_degc
Dataset Variable (ships_params),oage_hr
Dataset Variable (ships_params),penc_hpa
Dataset Variable (ships_params),penv_hpa
Dataset Variable (ships_params),rhhi_pct
Dataset Variable (ships_params),rhlo_pct
Dataset Variable (ships_params),rhmd_pct
Dataset Variable (ships_params),sddc_deg
Dataset Variable (ships_params),shdc_kt
Dataset Variable (ships_params),shrd_kt
Dataset Variable (ships_params),shtd_deg
Dataset Variable (ships_params),type
Dataset Variable (ships_params),u200_kt
Dataset Variable (ships_params),vmpi_kt
Dataset Variable (ships_params),z850_1e7_per_s
Data Group,tdr_noaa42
Dataset Variable (tdr_noaa42),az
Dataset Variable (tdr_noaa42),elev
Dataset Variable (tdr_noaa42),ght
Dataset Variable (tdr_noaa42),lat
Dataset Variable (tdr_noaa42),lon
Dataset Variable (tdr_noaa42),rvel
Dataset Variable (tdr_noaa42),rvelerr
Dataset Variable (tdr_noaa42),time
Data Group,tdr_noaa43
Dataset Variable (tdr_noaa43),az
Dataset Variable (tdr_noaa43),elev
Dataset Variable (tdr_noaa43),ght
Dataset Variable (tdr_noaa43),lat
Dataset Variable (tdr_noaa43),lon
Dataset Variable (tdr_noaa43),rvel
Dataset Variable (tdr_noaa43),rvelerr
Dataset Variable (tdr_noaa43),time
Data Group,tdr_noaa49
Dataset Variable (tdr_noaa49),az
Dataset Variable (tdr_noaa49),elev
Dataset Variable (tdr_noaa49),ght
Dataset Variable (tdr_noaa49),lat
Dataset Variable (tdr_noaa49),lon
Dataset Variable (tdr_noaa49),rvel
Dataset Variable (tdr_noaa49),rvelerr
Dataset Variable (tdr_noaa49),time
Data Group,track_best_track
Dataset Variable (track_best_track),clat
Dataset Variable (track_best_track),clon
Dataset Variable (track_best_track),pmin
Dataset Variable (track_best_track),rmw
Dataset Variable (track_best_track),time
Dataset Variable (track_best_track),vmax
Data Group,track_spline_track
Dataset Variable (track_spline_track),clat
Dataset Variable (track_spline_track),clon
Dataset Variable (track_spline_track),pres
Dataset Variable (track_spline_track),time
Data Group,track_vortex_message
Group Attribute (track_vortex_message),missing_value
Dataset Variable (track_vortex_message),clat
Dataset Variable (track_vortex_message),clon
Dataset Variable (track_vortex_message),sfcdir
Dataset Variable (track_vortex_message),sfcp
Dataset Variable (track_vortex_message),sfcspd
Dataset Variable (track_vortex_message),time
